ambitos territoriales,Renta capital inmobiliario,Renta capital mobiliario,Renta de actividades,Renta del trabajo,Renta disponible,Renta total,Transferencias
Abadi�o,262,967,695,13824,17620,20907,5158
Abaltzisketa,338,833,1614,12495,17690,20659,5379
Abanto y Ci�rvana-Abanto Zierbena,150,418,661,11485,14941,17514,4798
Aduna,610,724,1506,15775,19276,22779,4165
Agurain/Salvatierra,257,477,747,11576,15216,17689,4631
Aia,371,711,1678,12640,17117,20073,4673
Aizarnazabal,419,845,949,13186,17638,20758,5359
Ajangiz,810,2009,1141,14707,19511,23604,4937
Albiztur,427,1636,1420,14315,19703,23183,5386
Alegia,235,707,809,11399,16231,18778,5628
Alegr�a-Dulantzi,302,514,998,15580,17484,20843,3449
Alkiza,456,346,1612,14753,18436,21675,4509
Alonsotegi,198,398,953,10079,14419,16746,5118
Altzaga,276,898,2225,12577,18786,22029,6052
Altzo,370,816,978,14528,18299,21572,4881
Amezketa,262,1308,1112,12425,18121,21411,6305
Amorebieta-Etxano,298,701,857,13319,16885,20108,4932
Amoroto,262,1276,627,13129,16438,19570,4275
Amurrio,333,708,895,11360,16036,18951,5655
Andoain,302,818,721,11542,16703,19471,6088
Anoeta,438,621,1055,12470,16814,19677,5093
Antzuola,245,2091,761,15941,21607,25640,6601
Araba/�lava,396,985,912,12204,16694,19889,5392
Arabako Ibarrak / Valles Alaveses,363,785,1571,11084,15675,18519,4717
Arabako Lautada / Llanada Alavesa,413,1011,782,12471,16854,20113,5436
Arabako Mendialdea / Monta�a Alavesa,353,743,1853,10172,15905,18622,5501
Arakaldo,483,640,2803,16425,18985,23201,2850
Arama,927,2021,2173,18524,23433,29356,5710
Aramaio,192,3246,753,15130,20063,23924,4603
Arantzazu,478,867,919,14203,19003,22492,6024
Areatza,233,754,1177,11753,15914,18856,4939
Aretxabaleta,210,1905,729,14615,21088,24483,7025
Armi��n,436,244,1783,11662,14649,17167,3041
Arraia-Maeztu,431,870,1696,11042,16578,19462,5423
Arrankudiaga,498,2576,1235,14094,19034,23016,4612
Arrasate/Mondrag�n,199,1906,593,12167,19173,22184,7318
Arratia Nerbioi / Arratia-Nervi�n,319,839,862,12619,16725,19794,5156
Arratzu,397,627,947,14332,18557,22129,5826
Arratzua-Ubarrundia,987,2148,1588,16980,21611,26531,4828
Arrieta,259,845,950,15883,18322,22302,4366
Arrigorriaga,263,595,797,12440,15551,18372,4277
Artea,357,1749,713,14387,18980,22862,5656
Artzentales,203,276,1342,9033,14331,16498,5643
Artziniega,183,497,1004,12038,15862,18749,5027
Asparrena,174,1269,1007,11888,16660,19601,5263
Asteasu,624,800,1574,13019,17688,20842,4825
Astigarraga,435,675,1299,15414,18259,21658,3834
Ataun,244,1063,1000,13838,19206,22594,6449
Atxondo,286,543,723,11667,15993,18891,5672
Aulesti,298,1890,938,11566,16786,19805,5113
Ayala/Aiara,313,710,1198,13278,16850,20003,4504
Azkoitia,389,1172,825,12745,17802,20861,5730
Azpeitia,396,1484,884,12356,18042,21182,6062
A�ana,269,946,2797,9917,16046,18693,4765
Bakio,620,1432,1514,16447,20225,24994,4981
Baliarrain,123,824,1120,15947,18484,21982,3967
Balmaseda,227,542,856,9273,13614,15747,4849
Barakaldo,229,447,602,10312,14602,16935,5345
Barrika,784,1381,1060,13264,17939,21751,5262
Barrundia,592,706,2321,14352,18932,22785,4814
Basauri,214,476,587,9415,14271,16446,5755
Ba�os de Ebro/Ma�ueta,557,359,8470,3304,13228,15740,3050
Beasain,387,3056,856,13977,20162,24179,5903
Bedia,291,521,733,12252,15696,18439,4642
Beizama,107,982,1796,11614,15522,18252,3752
Belauntza,945,1010,1451,10108,18203,21397,7883
Berango,566,1096,1364,17303,20247,24935,4606
Berantevilla,544,637,2550,8729,14458,17077,4617
Berastegi,244,525,1208,12901,17641,20678,5799
Bergara,291,1404,713,13230,19289,22754,7116
Bermeo,258,1472,742,10257,15527,18279,5550
Bernedo,276,587,2199,10632,16148,18824,5130
